Rk.,Column1,Player,Pitches,Total,Pitch %,xBA,BA - xBA,2
340,,"Baddoo, Akil",225,916,24.6,0.192,0.012,Graphs
341,,"Alcántara, Sergio",224,942,23.8,0.209,0.011,Graphs
342,,"Duran, Jarren",223,881,25.3,0.219,0.002,Graphs
343,,"Vargas, Ildemaro",222,794,28,0.227,0.036,Graphs
344,,"Kiermaier, Kevin",221,831,26.6,0.25,-0.022,Graphs
345,,"Duran, Ezequiel",220,790,27.8,0.216,0.02,Graphs
346,,"Villar, Jonathan",220,877,25.1,0.208,0,Graphs
347,,"Chirinos, Robinson",220,853,25.8,0.168,0.011,Graphs
348,,"Azocar, José",216,768,28.1,0.241,0.016,Graphs
349,,"Garver, Mitch",215,943,22.8,0.222,-0.015,Graphs
350,,"Barnes, Austin",212,850,24.9,0.21,0.002,Graphs
351,,"Gonzalez, Marwin",207,822,25.2,0.217,-0.032,Graphs
352,,"Velázquez, Nelson",206,810,25.4,0.209,-0.004,Graphs
353,,"Maile, Luke",206,821,25.1,0.194,0.027,Graphs
354,,"Serven, Brian",205,796,25.8,0.212,-0.009,Graphs
355,,"Zavala, Seby",205,875,23.4,0.207,0.063,Graphs
356,,"Hummel, Cooper",201,819,24.5,0.21,-0.034,Graphs
357,,"Hilliard, Sam",200,870,23,0.216,-0.032,Graphs
358,,"Haggerty, Sam",198,735,26.9,0.23,0.026,Graphs
359,,"Lowe, Josh",197,851,23.1,0.212,0.009,Graphs
360,,"Herrera, Odúbel",197,737,26.7,0.225,0.013,Graphs
361,,"La Stella, Tommy",195,794,24.6,0.232,0.007,Graphs
362,,"Massey, Michael",194,719,27,0.243,0,Graphs
363,,"Rendon, Anthony",193,759,25.4,0.241,-0.012,Graphs
364,,"Tsutsugo, Yoshi",193,861,22.4,0.197,-0.026,Graphs
365,,"VanMeter, Josh",192,804,23.9,0.224,-0.037,Graphs
366,,"Vogt, Stephen",191,714,26.8,0.211,-0.05,Graphs
367,,"McCann, James",191,713,26.8,0.24,-0.045,Graphs
368,,"Chang, Yu",190,762,24.9,0.213,-0.005,Graphs
369,,"Sosa, Edmundo",190,653,29.1,0.244,-0.017,Graphs
370,,"Bride, Jonah",187,797,23.5,0.217,-0.013,Graphs
371,,"Plawecki, Kevin",186,698,26.6,0.228,-0.008,Graphs
372,,"Montero, Elehuris",185,674,27.4,0.213,0.02,Graphs
373,,"McKinstry, Zach",185,791,23.4,0.229,-0.03,Graphs
374,,"Lowrie, Jed",184,727,25.3,0.197,-0.017,Graphs
375,,"Nevin, Tyler",184,793,23.2,0.214,-0.017,Graphs
376,,"Stephenson, Tyler",183,732,25,0.26,0.059,Graphs
377,,"Burger, Jake",182,682,26.7,0.225,0.025,Graphs
378,,"Pratto, Nick",182,787,23.1,0.173,0.011,Graphs
379,,"Villar, David",181,730,24.8,0.189,0.042,Graphs
380,,"Thompson, Bubba",181,647,28,0.171,0.094,Graphs
381,,"Bryant, Kris",181,696,26,0.279,0.027,Graphs
