last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
Rendon, Anthony,543685,108,LAA,3B,32,51,,4.69,26.2
Castro, Harold,605612,116,DET,1B,28,159,,4.5,26.2
Vaughn, Andrew,683734,145,CWS,LF,24,215,,4.71,26.2
Paredes, Isaac,670623,139,TB,3B,23,118,,4.75,26.2
Kemp, Tony,643393,133,OAK,2B,30,198,,4.46,26.2
Seager, Corey,608369,140,TEX,SS,28,195,,4.67,26.1
d'Arnaud, Travis,518595,144,ATL,C,33,170,,4.69,26.1
Martinez, J.D.,502110,111,BOS,DH,34,188,,4.68,26.1
Mitchell, Cal,668751,134,PIT,RF,23,87,,4.71,26.1
Fletcher, David,664058,108,LAA,2B,28,82,,4.48,26.1
Murphy, Sean,669221,133,OAK,C,27,207,,4.62,26.1
Díaz, Elias,553869,115,COL,C,31,125,,4.64,26.1
Andrus, Elvis,462101,145,CWS,SS,33,220,,4.6,26
Jeffers, Ryan,680777,142,MIN,C,25,61,,4.73,26
Heim, Jonah,641680,140,TEX,C,27,131,,4.79,26
Tsutsugo, Yoshi,660294,134,PIT,1B,30,60,,4.47,26
Wong, Kolten,543939,158,MIL,2B,31,167,,4.45,26
McGuire, Reese,624512,111,BOS,C,27,83,,4.51,26
Pederson, Joc,592626,137,SF,LF,30,101,,4.44,26
Reyes, Franmil,614177,112,CHC,DH,26,139,,4.8,26
Abreu, José,547989,145,CWS,1B,35,233,,4.65,26
Wade Jr., LaMonte,664774,137,SF,RF,28,63,,4.67,26
Alberto, Hanser,593643,119,LAD,2B,29,69,,4.53,26
Hoskins, Rhys,656555,143,PHI,1B,29,180,,4.73,25.9
Pinder, Chad,640461,133,OAK,LF,30,134,,4.7,25.9
Higashioka, Kyle,543309,147,NYY,C,32,61,,4.72,25.9
Guillorme, Luis,641645,121,NYM,2B,27,145,,4.52,25.9
Walsh, Jared,665120,108,LAA,1B,28,137,,4.55,25.9
Hosmer, Eric,543333,111,BOS,1B,32,173,,4.57,25.8
Meneses, Joey,608841,120,WSH,1B,30,90,,4.71,25.8
